geneid	symbol
ENSMUSG00000041679	Lrrc29
ENSMUSG00000041684	Bivm
ENSMUSG00000041685	Fcho2
ENSMUSG00000041688	Amot
ENSMUSG00000041695	Kcnj2
ENSMUSG00000041696	Rasl12
ENSMUSG00000041697	Cox6a1
ENSMUSG00000041698	Slco1a1
ENSMUSG00000041700	Lhfpl1
ENSMUSG00000041702	Btbd7
ENSMUSG00000041703	Zic5
ENSMUSG00000041707	Tmem273
ENSMUSG00000041708	Mpped1
ENSMUSG00000041710	Trpc5
ENSMUSG00000041712	Ubr7
ENSMUSG00000041716	Gm20604
ENSMUSG00000041718	Alg13
ENSMUSG00000041720	Pi4ka
ENSMUSG00000041722	Khdc1c
ENSMUSG00000041729	Coro2b
ENSMUSG00000041730	Prrxl1
ENSMUSG00000041731	Pgm5
ENSMUSG00000041733	Coq5
ENSMUSG00000041734	Kirrel
ENSMUSG00000041736	Tspo
ENSMUSG00000041737	Tmem45b
ENSMUSG00000041740	Rnf10
ENSMUSG00000041741	Pde3a
ENSMUSG00000041747	Utp15
ENSMUSG00000041750	Cd1d2
ENSMUSG00000041754	Trem3
ENSMUSG00000041757	Plekha6
ENSMUSG00000041762	Gpr155
ENSMUSG00000041763	Tpp2
ENSMUSG00000041765	Ubac2
ENSMUSG00000041769	Ppp2r2d
ENSMUSG00000041771	Slc24a4
ENSMUSG00000041773	Enc1
ENSMUSG00000041774	Ydjc
ENSMUSG00000041775	Mapk1ip1
ENSMUSG00000041777	Cir1
ENSMUSG00000041779	Tram2
ENSMUSG00000041781	Cpsf2
ENSMUSG00000041782	Lad1
ENSMUSG00000041789	2700046A07Rik
ENSMUSG00000041794	Myrip
ENSMUSG00000041797	Abca9
ENSMUSG00000041798	Gck
ENSMUSG00000041801	Phlda3
ENSMUSG00000041809	Efhc1
ENSMUSG00000041815	Poldip3
ENSMUSG00000041817	Fam169a
ENSMUSG00000041827	Oasl1
ENSMUSG00000041828	Abca8a
ENSMUSG00000041831	Sytl3
ENSMUSG00000041836	Ptpre
ENSMUSG00000041837	Pdcd7
ENSMUSG00000041840	Haus1
ENSMUSG00000041841	Rpl37
ENSMUSG00000041842	Fhdc1
ENSMUSG00000041845	Rhod
ENSMUSG00000041846	Ppp4r3a
ENSMUSG00000041849	Card6
ENSMUSG00000041852	Tcf20
ENSMUSG00000041857	Oosp1
ENSMUSG00000041859	Mcm3
ENSMUSG00000041870	Ankrd13a
ENSMUSG00000041872	Il17f
ENSMUSG00000041878	8430432A02Rik
ENSMUSG00000041879	Ipo9
ENSMUSG00000041881	Ndufa7
ENSMUSG00000041886	Macc1
ENSMUSG00000041889	Shisa4
ENSMUSG00000041890	Git2
ENSMUSG00000041891	Lman1
ENSMUSG00000041895	Wipi1
ENSMUSG00000041907	Gpr45
ENSMUSG00000041911	Dlx1
ENSMUSG00000041912	Tdrkh
ENSMUSG00000041915	Ammecr1l
ENSMUSG00000041920	Slc16a6
ENSMUSG00000041921	Metap1d
ENSMUSG00000041923	Nol4
ENSMUSG00000041926	Rnpep
ENSMUSG00000041930	Fam222a
ENSMUSG00000041935	AW549877
ENSMUSG00000041936	Agrn
ENSMUSG00000041939	Mvk
ENSMUSG00000041945	Mfsd9
ENSMUSG00000041949	Tango6
ENSMUSG00000041954	Tnfrsf18
ENSMUSG00000041957	Pkp2
ENSMUSG00000041958	Pigs
ENSMUSG00000041959	S100a10
ENSMUSG00000041961	Znrf3
ENSMUSG00000041966	Dcaf17
ENSMUSG00000041974	Spidr
ENSMUSG00000041975	Mettl8
ENSMUSG00000041977	Arhgef11
ENSMUSG00000041986	Elmod1
ENSMUSG00000041991	Hrnr
ENSMUSG00000041992	Rapgef5
ENSMUSG00000041995	Zbed3
ENSMUSG00000041997	Tlk1
ENSMUSG00000042002	Foxn4
ENSMUSG00000042010	Acacb
ENSMUSG00000042015	Wdr41
ENSMUSG00000042029	Ncapg2
ENSMUSG00000042032	Mat2b
ENSMUSG00000042035	Igsf3
ENSMUSG00000042041	2010003K11Rik
ENSMUSG00000042042	Csgalnact2
ENSMUSG00000042043	Tbca
ENSMUSG00000042045	Sln
ENSMUSG00000042046	Dstyk
ENSMUSG00000042050	Wdr60
ENSMUSG00000042055	Wdr11
ENSMUSG00000042063	Zfp386
ENSMUSG00000042064	Myo3b
ENSMUSG00000042066	Tmcc2
ENSMUSG00000042073	Abhd14b
ENSMUSG00000042078	Svop
ENSMUSG00000042079	Hnrnpf
ENSMUSG00000042082	Arsb
ENSMUSG00000042087	4933440N22Rik
ENSMUSG00000042096	Dao
ENSMUSG00000042097	Zfp239
ENSMUSG00000042099	Kank3
ENSMUSG00000042102	Dmgdh
ENSMUSG00000042104	Uggt2
ENSMUSG00000042105	Inpp5f
ENSMUSG00000042106	Inka1
ENSMUSG00000042109	Csdc2
ENSMUSG00000042111	Ccdc115
ENSMUSG00000042115	Klhdc8a
ENSMUSG00000042116	Vwa1
ENSMUSG00000042118	Bhmt2
ENSMUSG00000042121	Ssh1
ENSMUSG00000042129	Rassf4
ENSMUSG00000042133	Ppig
ENSMUSG00000042138	Msantd2
ENSMUSG00000042148	Cox10
ENSMUSG00000042155	Klhl23
ENSMUSG00000042156	Dzip1
ENSMUSG00000042165	Gm9774
ENSMUSG00000042167	Tent2
ENSMUSG00000042178	Armc5
ENSMUSG00000042179	Pnliprp1
ENSMUSG00000042182	Bend6
ENSMUSG00000042184	1700069L16Rik
ENSMUSG00000042185	Nfrkb
ENSMUSG00000042189	Tekt3
ENSMUSG00000042190	Cmklr1
ENSMUSG00000042195	Slc35f2
ENSMUSG00000042197	Zfp451
ENSMUSG00000042198	Chchd7
ENSMUSG00000042200	Cdrt4
ENSMUSG00000042202	Slc35e2
ENSMUSG00000042203	Tbc1d22b
ENSMUSG00000042207	Kdm5b
ENSMUSG00000042208	0610010F05Rik
ENSMUSG00000042210	Abhd14a
ENSMUSG00000042211	Fbxo38
ENSMUSG00000042212	Sprr2d
ENSMUSG00000042213	Zfand4
ENSMUSG00000042215	Bag2
ENSMUSG00000042216	Sgsm1
ENSMUSG00000042225	Ammecr1
ENSMUSG00000042228	Lyn
ENSMUSG00000042229	Rabif
ENSMUSG00000042240	Crybb2
ENSMUSG00000042244	Pglyrp3
ENSMUSG00000042246	Tmc7
ENSMUSG00000042249	Grk3
ENSMUSG00000042250	Pglyrp4
ENSMUSG00000042251	Pm20d1
ENSMUSG00000042254	Cilp
ENSMUSG00000042256	Ptchd4
ENSMUSG00000042258	Isl1
ENSMUSG00000042262	Ccr8
ENSMUSG00000042268	Slc26a9
ENSMUSG00000042269	Fam92b
ENSMUSG00000042271	Nxt2
ENSMUSG00000042272	Sestd1
ENSMUSG00000042275	Pelo
ENSMUSG00000042279	H1f8
ENSMUSG00000042282	Gucy2f
ENSMUSG00000042284	Itga1
ENSMUSG00000042286	Stab1
ENSMUSG00000042289	Hsd3b7
ENSMUSG00000042292	Mrtfa
ENSMUSG00000042293	Gm5617
ENSMUSG00000042298	Ttc19
ENSMUSG00000042302	Ehbp1
ENSMUSG00000042303	Sgsm3
ENSMUSG00000042305	Tmem183a
ENSMUSG00000042306	S100a14
ENSMUSG00000042308	Setd1a
ENSMUSG00000042312	S100a13
ENSMUSG00000042320	Prox2
ENSMUSG00000042323	Pbrm1
ENSMUSG00000042328	Hps4
ENSMUSG00000042331	Specc1
ENSMUSG00000042333	Tnfrsf14
ENSMUSG00000042340	Ctf1
ENSMUSG00000042345	Ubash3a
ENSMUSG00000042348	Arl15
ENSMUSG00000042349	Ikbke
ENSMUSG00000042350	Arel1
ENSMUSG00000042351	Grap2
ENSMUSG00000042353	Frem3
ENSMUSG00000042354	Gnl3
ENSMUSG00000042357	Gjb5
ENSMUSG00000042359	Osbpl6
ENSMUSG00000042360	4930433N12Rik
ENSMUSG00000042363	Lgalsl
ENSMUSG00000042364	Snx18
ENSMUSG00000042367	Gjb3
ENSMUSG00000042369	Rbm45
ENSMUSG00000042371	Slc5a10
ENSMUSG00000042372	Dmrt3
ENSMUSG00000042377	Fam83g
ENSMUSG00000042379	Esm1
ENSMUSG00000042380	Smim12
ENSMUSG00000042385	Gzmk
ENSMUSG00000042388	Dlgap3
ENSMUSG00000042389	Tsen2
ENSMUSG00000042390	Gatad2b
ENSMUSG00000042396	Rbm7
ENSMUSG00000042401	Crtac1
ENSMUSG00000042404	Dennd4b
ENSMUSG00000042406	Atf4
ENSMUSG00000042408	Zmym6
ENSMUSG00000042410	Agps
ENSMUSG00000042414	Prdm14
ENSMUSG00000042417	Ccno
ENSMUSG00000042419	Nfkbil1
ENSMUSG00000042423	Fbrs
ENSMUSG00000042425	Frmpd3
ENSMUSG00000042426	Dhx29
ENSMUSG00000042428	Mgat3
ENSMUSG00000042429	Adora1
ENSMUSG00000042433	Pih1h3b
ENSMUSG00000042436	Mfap4
ENSMUSG00000042439	Zfp532
ENSMUSG00000042444	Mindy2
ENSMUSG00000042446	Zmym4
ENSMUSG00000042447	Mios
ENSMUSG00000042448	Hoxd1
ENSMUSG00000042451	Mybph
ENSMUSG00000042453	Reln
ENSMUSG00000042460	C1galt1
ENSMUSG00000042462	Dctpp1
ENSMUSG00000042472	Zfp410
ENSMUSG00000042473	Tbc1d8b
ENSMUSG00000042474	Fcmr
ENSMUSG00000042476	Abcb4
ENSMUSG00000042477	Tfap2e
ENSMUSG00000042485	Mustn1
ENSMUSG00000042487	Leo1
ENSMUSG00000042489	Clspn
ENSMUSG00000042492	Tbc1d10b
ENSMUSG00000042496	Prdm10
ENSMUSG00000042498	Radx
ENSMUSG00000042499	Hoxd11
ENSMUSG00000042500	Ago4
ENSMUSG00000042501	Cpa6
ENSMUSG00000042502	Cd2bp2
ENSMUSG00000042505	Sdhaf3
ENSMUSG00000042506	Usp22
ENSMUSG00000042507	Elmsan1
ENSMUSG00000042508	Dmtf1
ENSMUSG00000042510	AA986860
ENSMUSG00000042514	Klhl14
ENSMUSG00000042515	Pwwp3b
ENSMUSG00000042520	Ubap2l
ENSMUSG00000042523	Dnal1
ENSMUSG00000042524	Sun2
ENSMUSG00000042529	Kcnj12
ENSMUSG00000042532	Golga7b
ENSMUSG00000042535	Gtpbp1
ENSMUSG00000042540	Acot5
ENSMUSG00000042541	Sem1
ENSMUSG00000042548	Asxl1
ENSMUSG00000042549	Map2k3os
ENSMUSG00000042554	Zp3r
ENSMUSG00000042557	Sin3a
ENSMUSG00000042558	Adprhl2
ENSMUSG00000042564	Fam227a
ENSMUSG00000042567	Nek10
ENSMUSG00000042569	Dhrs7b
ENSMUSG00000042570	Mier2
ENSMUSG00000042572	Ube2q1
ENSMUSG00000042579	4632404H12Rik
ENSMUSG00000042581	Thsd7b
ENSMUSG00000042589	Cux2
ENSMUSG00000042590	Ipo11
ENSMUSG00000042594	Sh2b3
ENSMUSG00000042595	Fam199x
ENSMUSG00000042596	Tfap2d
ENSMUSG00000042599	Kdm7a
ENSMUSG00000042604	Kcna4
ENSMUSG00000042605	Atxn2
ENSMUSG00000042606	Hirip3
ENSMUSG00000042607	Asb4
ENSMUSG00000042608	Stk40
ENSMUSG00000042613	Pbxip1
ENSMUSG00000042616	Oscp1
ENSMUSG00000042622	Maff
ENSMUSG00000042625	Safb2
ENSMUSG00000042626	Shc1
ENSMUSG00000042628	Zfyve1
ENSMUSG00000042631	Xkr7
ENSMUSG00000042632	Pla2g6
ENSMUSG00000042638	Gucy2c
ENSMUSG00000042641	Rgsl1
ENSMUSG00000042642	Flad1
ENSMUSG00000042644	Itpr3
ENSMUSG00000042647	Acad12
ENSMUSG00000042650	Alkbh5
ENSMUSG00000042655	Shisal2b
ENSMUSG00000042659	Arrdc4
ENSMUSG00000042660	Wdr55
ENSMUSG00000042662	Dusp15
ENSMUSG00000042670	Immp1l
ENSMUSG00000042671	Rgs8
ENSMUSG00000042672	Dcst1
ENSMUSG00000042675	Ypel3
ENSMUSG00000042677	Zc3h12a
ENSMUSG00000042678	Myo15
ENSMUSG00000042680	Garem1
ENSMUSG00000042682	Selenok
ENSMUSG00000042684	Npl
ENSMUSG00000042686	Jph1
ENSMUSG00000042688	Mapk6
ENSMUSG00000042694	Stn1
ENSMUSG00000042699	Dhx9
ENSMUSG00000042700	Sipa1l1
ENSMUSG00000042705	Commd10
ENSMUSG00000042707	Dnali1
ENSMUSG00000042708	Shcbp1l
ENSMUSG00000042709	Atpaf2
ENSMUSG00000042712	Tceal9
ENSMUSG00000042717	Ppp1r3a
ENSMUSG00000042719	Naa25
ENSMUSG00000042724	Map3k9
ENSMUSG00000042726	Trafd1
ENSMUSG00000042729	Wdr74
ENSMUSG00000042734	Ttc9
ENSMUSG00000042737	Dpm3
ENSMUSG00000042742	Bmt2
ENSMUSG00000042743	Sgtb
ENSMUSG00000042744	Hectd4
ENSMUSG00000042745	Id1
ENSMUSG00000042747	Krtcap2
ENSMUSG00000042750	Bex2
ENSMUSG00000042751	Nmnat2
ENSMUSG00000042757	Tmem108
ENSMUSG00000042759	Apobr
ENSMUSG00000042761	Mrap2
ENSMUSG00000042763	Maneal
ENSMUSG00000042766	Trim46
ENSMUSG00000042770	Hebp1
ENSMUSG00000042772	Smg7
ENSMUSG00000042784	Muc1
ENSMUSG00000042787	Exog
ENSMUSG00000042788	Fam166b
ENSMUSG00000042790	Rnf214
ENSMUSG00000042793	Lgr6
ENSMUSG00000042797	Aqp11
ENSMUSG00000042800	Spata46
ENSMUSG00000042804	Gpr153
ENSMUSG00000042807	Hecw2
ENSMUSG00000042808	Gpx2
ENSMUSG00000042810	Krba1
ENSMUSG00000042812	Foxf1
ENSMUSG00000042814	Mcts2
ENSMUSG00000042816	Gpr151
ENSMUSG00000042817	Flt3
ENSMUSG00000042821	Snai1
ENSMUSG00000042826	Fgf11
ENSMUSG00000042828	Trim72
ENSMUSG00000042831	Alkbh6
ENSMUSG00000042834	Nrep
ENSMUSG00000042842	Serpinb6b
ENSMUSG00000042845	Wfdc12
ENSMUSG00000042846	Lrrtm3
ENSMUSG00000042851	Zc3h6
ENSMUSG00000042854	Trp53rkb
ENSMUSG00000042857	Gm9776
ENSMUSG00000042861	Kcna10
ENSMUSG00000042870	Tom1
ENSMUSG00000042873	Lhfpl4
ENSMUSG00000042874	D930007J09Rik
ENSMUSG00000042888	Prr30
ENSMUSG00000042894	Olfr1260
ENSMUSG00000042895	Abra
ENSMUSG00000042901	Aida
ENSMUSG00000042903	Foxo4
ENSMUSG00000042918	Mamstr
ENSMUSG00000042938	Gm14117
ENSMUSG00000042940	9230106D20Rik
ENSMUSG00000042942	Greb1l
ENSMUSG00000042961	Egflam
ENSMUSG00000042962	Gm5436
ENSMUSG00000042976	9930038B18Rik
ENSMUSG00000042978	Sbk1
ENSMUSG00000042985	Upk3b
ENSMUSG00000042988	Notum
ENSMUSG00000042992	Borcs5
ENSMUSG00000042993	Ifnk
ENSMUSG00000042997	Nhlrc3
ENSMUSG00000043003	Rasef
ENSMUSG00000043004	Gng2
ENSMUSG00000043008	Klhl6
ENSMUSG00000043013	Onecut1
ENSMUSG00000043015	Nemp2
ENSMUSG00000043017	Ptgir
ENSMUSG00000043019	Edem3
ENSMUSG00000043020	Wdr63
ENSMUSG00000043024	Gm16433
ENSMUSG00000043029	Trpv3
ENSMUSG00000043036	Ccdc63
ENSMUSG00000043050	Tnp2
ENSMUSG00000043051	Disc1
ENSMUSG00000043059	Zfp513
ENSMUSG00000043061	Tmem18
ENSMUSG00000043065	Spice1
ENSMUSG00000043067	Dpy19l1
ENSMUSG00000043068	Fam89a
ENSMUSG00000043079	Synpo
ENSMUSG00000043085	Tmem82
ENSMUSG00000043088	Il17re
ENSMUSG00000043090	Zfp866
ENSMUSG00000043091	Tuba1c
ENSMUSG00000043099	Hic1
ENSMUSG00000043102	Qrfp
ENSMUSG00000043110	Lrrn4
ENSMUSG00000043119	Olfr448
ENSMUSG00000043122	A530016L24Rik
ENSMUSG00000043126	D830039M14Rik
ENSMUSG00000043131	Mob1a
ENSMUSG00000043140	Tmem186
ENSMUSG00000043144	Aqp6
ENSMUSG00000043145	Gm11292
ENSMUSG00000043153	Crppa
ENSMUSG00000043154	Ppp2r3a
ENSMUSG00000043155	Hpdl
ENSMUSG00000043157	Arl11
ENSMUSG00000043162	Pyurf
ENSMUSG00000043164	Tmem212
ENSMUSG00000043165	Lor
ENSMUSG00000043168	4930426D05Rik
ENSMUSG00000043183	Simc1
ENSMUSG00000043190	Rfesd
ENSMUSG00000043192	Gpi-ps
ENSMUSG00000043207	Zmpste24
ENSMUSG00000043223	Gm4835
ENSMUSG00000043230	Fam124b
ENSMUSG00000043241	Upf2
ENSMUSG00000043243	Fam129c
ENSMUSG00000043251	Exoc3l
ENSMUSG00000043252	Tmem64
ENSMUSG00000043257	Pigv
ENSMUSG00000043259	Fam13c
ENSMUSG00000043262	Uevld
ENSMUSG00000043263	Ifi209
ENSMUSG00000043279	Trim56
ENSMUSG00000043282	Teddm1b
ENSMUSG00000043284	Tmem11
ENSMUSG00000043286	Pnpla1
ENSMUSG00000043289	Mei4
ENSMUSG00000043290	Zfp784
ENSMUSG00000043295	Gm16373
ENSMUSG00000043298	Smco3
ENSMUSG00000043300	B3galnt1
ENSMUSG00000043301	Kcnj6
ENSMUSG00000043310	Olfr571
ENSMUSG00000043311	D17H6S53E
ENSMUSG00000043312	Olfr131
ENSMUSG00000043313	Pcdhb19
ENSMUSG00000043314	Olfr30
ENSMUSG00000043319	Cox8c
ENSMUSG00000043323	Fbrsl1
ENSMUSG00000043329	Gm8849
ENSMUSG00000043331	Olfr975
ENSMUSG00000043333	Rhbdl2
ENSMUSG00000043336	Filip1l
ENSMUSG00000043340	6530409C15Rik
ENSMUSG00000043346	Gm6741
ENSMUSG00000043366	Olfr78
ENSMUSG00000043372	Hexim2
ENSMUSG00000043383	Olfr1342
ENSMUSG00000043384	Gprasp1
ENSMUSG00000043385	Olfr267
ENSMUSG00000043388	Tmem130
ENSMUSG00000043391	2510009E07Rik
ENSMUSG00000043398	Gpr135
ENSMUSG00000043410	Hfm1
ENSMUSG00000043411	Usp48
ENSMUSG00000043415	Otud1
ENSMUSG00000043418	Lrit2
ENSMUSG00000043419	Rnf227
ENSMUSG00000043421	Hilpda
ENSMUSG00000043424	Eif3j2
ENSMUSG00000043429	Ccdc185
ENSMUSG00000043430	Psapl1
ENSMUSG00000043432	Leng9
ENSMUSG00000043439	Epop
ENSMUSG00000043441	Gpr149
ENSMUSG00000043445	Pgp
ENSMUSG00000043448	Gjc2
ENSMUSG00000043453	Magea10
ENSMUSG00000043456	Zfp536
ENSMUSG00000043458	Pcdhb12
ENSMUSG00000043460	Elfn2
ENSMUSG00000043461	Sptssb
ENSMUSG00000043463	Rab9b
ENSMUSG00000043467	Zbtb37
ENSMUSG00000043483	Gm6863
ENSMUSG00000043484	Gm5867
ENSMUSG00000043487	Acot6
ENSMUSG00000043488	Frmd8os
ENSMUSG00000043496	Tril
ENSMUSG00000043501	Lgals2
ENSMUSG00000043505	Gimap5
ENSMUSG00000043510	Hscb
ENSMUSG00000043518	Rai2
ENSMUSG00000043529	Olfr266
ENSMUSG00000043531	Sorcs1
ENSMUSG00000043535	Setx
ENSMUSG00000043541	Casc1
ENSMUSG00000043542	Zc2hc1a
ENSMUSG00000043549	Fam90a1b
ENSMUSG00000043556	Fbxl7
ENSMUSG00000043557	Mdga1
ENSMUSG00000043569	Cldn34c4
ENSMUSG00000043572	Pars2
ENSMUSG00000043583	4930470P17Rik
ENSMUSG00000043587	Pxylp1
ENSMUSG00000043592	Unc5cl
ENSMUSG00000043602	Zfp3
ENSMUSG00000043605	Olfr13
ENSMUSG00000043613	Mmp3
ENSMUSG00000043614	Vps37d
ENSMUSG00000043618	Eif5al3-ps
ENSMUSG00000043621	Ubxn10
ENSMUSG00000043623	4933412A08Rik
ENSMUSG00000043629	1700019D03Rik
ENSMUSG00000043631	Ecm2
ENSMUSG00000043633	Fam221b
ENSMUSG00000043635	Adamts3
ENSMUSG00000043639	Rbm20
ENSMUSG00000043644	0610009L18Rik
ENSMUSG00000043648	Pld6
ENSMUSG00000043659	Npsr1
ENSMUSG00000043661	Gm9785
ENSMUSG00000043664	Tmem221
ENSMUSG00000043668	Tox3
ENSMUSG00000043670	Diras1
ENSMUSG00000043671	Dpy19l3
ENSMUSG00000043673	Kcns3
ENSMUSG00000043681	Fam25c
ENSMUSG00000043683	Fem1a
ENSMUSG00000043687	1190005I06Rik
ENSMUSG00000043702	Pde12
ENSMUSG00000043705	Capn13
ENSMUSG00000043716	Rpl7
ENSMUSG00000043719	Col6a6
ENSMUSG00000043727	F830045P16Rik
ENSMUSG00000043733	Ptpn11
ENSMUSG00000043740	B430306N03Rik
ENSMUSG00000043747	1520401A03Rik
ENSMUSG00000043753	Dmrta1
ENSMUSG00000043760	Pkhd1
ENSMUSG00000043770	Gm12481
ENSMUSG00000043773	1700048O20Rik
ENSMUSG00000043782	Bicdl2
ENSMUSG00000043787	Defb12
ENSMUSG00000043789	Vwce
ENSMUSG00000043794	D830025C05Rik
ENSMUSG00000043795	Prr33
ENSMUSG00000043801	Oaz1-ps
ENSMUSG00000043807	Ly6g5b
ENSMUSG00000043811	Rtn4r
ENSMUSG00000043822	Adamtsl5
ENSMUSG00000043831	Lysmd4
ENSMUSG00000043832	Clec4a3
ENSMUSG00000043833	2900005J15Rik
ENSMUSG00000043843	Tmem145
ENSMUSG00000043850	Clrn1
ENSMUSG00000043857	Mgat5b
ENSMUSG00000043866	Taf10
ENSMUSG00000043870	Gm5809
ENSMUSG00000043872	Zmym1
ENSMUSG00000043873	Chil5
ENSMUSG00000043880	Olfr323
ENSMUSG00000043881	Kbtbd7
ENSMUSG00000043885	Slc36a4
ENSMUSG00000043889	Gm8399
ENSMUSG00000043895	S1pr2
ENSMUSG00000043897	Vmn2r2
ENSMUSG00000043903	Zfp469
ENSMUSG00000043909	Trp53bp1
ENSMUSG00000043911	Olfr922
ENSMUSG00000043913	Ccdc60
ENSMUSG00000043923	Ccdc84
ENSMUSG00000043924	Ncmap
ENSMUSG00000043925	Olfr544
ENSMUSG00000043929	Klhl15
ENSMUSG00000043931	Gimap7
ENSMUSG00000043932	Klri2
ENSMUSG00000043939	A530064D06Rik
ENSMUSG00000043940	Wdfy3
ENSMUSG00000043943	Naalad2
ENSMUSG00000043948	Olfr691
ENSMUSG00000043953	Ccrl2
ENSMUSG00000043962	Thrap3
ENSMUSG00000043964	Orai3
ENSMUSG00000043969	Emx2
ENSMUSG00000043972	Opn5
ENSMUSG00000043986	Spata31d1d
ENSMUSG00000043987	Cep164
ENSMUSG00000043991	Pura
ENSMUSG00000043993	2900052L18Rik
ENSMUSG00000043998	Mgat2
ENSMUSG00000043999	Gpr75
ENSMUSG00000044005	Gls2
ENSMUSG00000044006	Cilp2
ENSMUSG00000044014	Npy5r
ENSMUSG00000044017	Adgrd1
ENSMUSG00000044018	Mrpl50
ENSMUSG00000044021	Muc19
ENSMUSG00000044022	Pcdhb21
ENSMUSG00000044024	Rell2
ENSMUSG00000044026	Slc35g1
ENSMUSG00000044030	Irf2bp1
ENSMUSG00000044033	Ccdc141
ENSMUSG00000044034	Npb
ENSMUSG00000044037	Als2cl
ENSMUSG00000044039	Olfr1288
ENSMUSG00000044040	Olfr1497
ENSMUSG00000044041	Krt13
ENSMUSG00000044042	Fmn1
ENSMUSG00000044043	Pcdhb14
ENSMUSG00000044052	Ccr10
ENSMUSG00000044055	Otos
ENSMUSG00000044056	Efcab9
ENSMUSG00000044062	Plekhd1os
ENSMUSG00000044066	Cep68
ENSMUSG00000044067	Gpr22
ENSMUSG00000044068	Zrsr1
ENSMUSG00000044071	Tafa2
ENSMUSG00000044072	Eml6
ENSMUSG00000044080	S100a1
ENSMUSG00000044081	Zfp85os
ENSMUSG00000044083	Efcab8
ENSMUSG00000044086	Lmod3
ENSMUSG00000044092	C130050O18Rik
ENSMUSG00000044098	Rsbn1
ENSMUSG00000044103	Il1f9
ENSMUSG00000044117	Bmerb1
ENSMUSG00000044120	Olfr683
ENSMUSG00000044121	5430402E10Rik
ENSMUSG00000044122	Proca1
ENSMUSG00000044125	9530080O11Rik
ENSMUSG00000044134	Pheta1
ENSMUSG00000044139	Prss53
ENSMUSG00000044141	E130201H02Rik
ENSMUSG00000044145	1810024B03Rik
ENSMUSG00000044147	Arf6
ENSMUSG00000044148	1810030O07Rik
ENSMUSG00000044149	Nkrf
ENSMUSG00000044150	Bclaf3
ENSMUSG00000044155	Lsm8
ENSMUSG00000044156	Hepacam2
ENSMUSG00000044162	Tnip3
ENSMUSG00000044164	Rnf182
ENSMUSG00000044165	Bcl2l15
ENSMUSG00000044167	Foxo1
ENSMUSG00000044172	Ptx4
ENSMUSG00000044176	Spink10
ENSMUSG00000044177	Wfikkn2
ENSMUSG00000044197	Gpr146
ENSMUSG00000044199	S1pr4
ENSMUSG00000044201	Cdc25c
ENSMUSG00000044206	Vsig4
ENSMUSG00000044211	Gm7887
ENSMUSG00000044216	Kcnj4
ENSMUSG00000044217	Aqp5
ENSMUSG00000044221	Grsf1
ENSMUSG00000044222	Defb13
ENSMUSG00000044224	Dnajc21
ENSMUSG00000044229	Nxpe4
ENSMUSG00000044231	Nhlrc1
ENSMUSG00000044243	Bhlha9
ENSMUSG00000044244	Il20rb
ENSMUSG00000044249	Defb29
ENSMUSG00000044250	Pced1b
ENSMUSG00000044252	Osbpl1a
ENSMUSG00000044254	Pcsk9
ENSMUSG00000044258	Ctla2a
ENSMUSG00000044265	Olfm5
ENSMUSG00000044268	Gm4895
ENSMUSG00000044276	4933427E11Rik
ENSMUSG00000044279	Crb3
ENSMUSG00000044285	Ubb-ps
ENSMUSG00000044286	Olfr221
ENSMUSG00000044287	Nrn1l
ENSMUSG00000044288	Cnr1
ENSMUSG00000044296	Zfp879
ENSMUSG00000044303	Cdkn2a
ENSMUSG00000044306	4930500M09Rik
ENSMUSG00000044308	Ubr3
ENSMUSG00000044309	Apol7c
ENSMUSG00000044312	Neurog3
ENSMUSG00000044313	Mab21l3
ENSMUSG00000044317	Gpr4
ENSMUSG00000044320	1700001O22Rik
ENSMUSG00000044322	Dsc1
ENSMUSG00000044328	Trp53i13
ENSMUSG00000044330	Gm9790
ENSMUSG00000044337	Ackr3
ENSMUSG00000044338	Aplnr
ENSMUSG00000044339	Alkbh2
ENSMUSG00000044340	Phlpp1
ENSMUSG00000044345	Marveld1
ENSMUSG00000044348	Slc25a53
ENSMUSG00000044349	Snhg11
ENSMUSG00000044350	Lacc1
ENSMUSG00000044352	Sowaha
ENSMUSG00000044361	BC024139
ENSMUSG00000044362	Ccdc89
ENSMUSG00000044364	Tmem74b
ENSMUSG00000044365	Cxxc4
ENSMUSG00000044367	Slc16a13
ENSMUSG00000044375	Pcare
ENSMUSG00000044377	Gm13080
ENSMUSG00000044378	Slc15a5
ENSMUSG00000044387	2410080I02Rik
ENSMUSG00000044390	Tigd3
ENSMUSG00000044393	Dsg2
ENSMUSG00000044400	Sowahd
ENSMUSG00000044405	Adig
ENSMUSG00000044408	Sptssa
ENSMUSG00000044424	Gm9493
ENSMUSG00000044429	Cryga
ENSMUSG00000044433	Camsap3
ENSMUSG00000044434	Gm9791
ENSMUSG00000044442	N6amt1
ENSMUSG00000044444	Pfn3
ENSMUSG00000044447	Dock5
ENSMUSG00000044452	Zfp507
ENSMUSG00000044453	Ffar1
ENSMUSG00000044456	Rin3
ENSMUSG00000044461	Shisa2
ENSMUSG00000044465	Fam160a2
ENSMUSG00000044468	Tent5c
ENSMUSG00000044469	Tnfaip8l1
ENSMUSG00000044471	Lncpint
ENSMUSG00000044475	Ascc1
ENSMUSG00000044477	Zfand3
ENSMUSG00000044485	Klk1b11
ENSMUSG00000044496	2510039O18Rik
ENSMUSG00000044499	Hs3st5
ENSMUSG00000044501	Zfp758
